Item Name,Category,Brand Name,Device Age,Device Condition,Material Recovery Rate,Device Type,Year of Manufacture,Market Value of Metals,Cost of Recovery,Profit,Gold (g),Aluminum (g),Silver (g),Carbon (g),Platinum (g),Rhodium (g),Nickel (g),Tin (g),Lithium (g),Current Metal Value ($),Recycling Score
iPad Pro,Cat2,Samsung,13,Average,66.55,IT Equipment,2012,554.53,26.42,528.11,4.64,26.18,1.1,0.62,0.87,0.23,13.39,4.54,2.55,407.6368539999999,4
Roku Ultra,Cat3,Samsung,20,Broken,67.89,IT Equipment,2001,377.92,8.22,369.7,0.14,46.37,2.94,6.18,0.18,0.61,12.47,2.6,1.53,368.230485,5
Sony WH-1000XM4,Cat1,Lenovo,16,Good,52.63,Consumer Electronics,1990,539.74,20.43,519.31,1.69,42.85,0.43,6.0,1.43,0.94,11.48,0.17,6.09,699.412397,3
Panasonic Viera,Cat3,Apple,2,Average,76.63,Appliance,2022,478.45,20.68,457.77,2.26,15.39,2.6,0.75,0.49,0.26,10.73,1.85,5.84,288.587505,5
MacBook Pro,Cat4,Apple,13,Good,87.18,IT Equipment,2007,278.57,18.76,259.81,0.03,40.22,1.11,2.07,1.55,0.81,1.9,0.35,1.95,549.6178900000002,4
LG OLED TV,Cat2,LG,19,Good,58.71,IT Equipment,2018,538.99,25.99,513.0,4.04,49.99,1.1,3.79,1.37,0.5,2.38,2.68,6.12,559.880643,4
Panasonic Viera,Cat4,Panasonic,6,Broken,71.89,Consumer Electronics,2004,277.72,26.03,251.69,1.26,16.36,1.73,6.35,1.3,0.04,4.91,2.94,2.22,155.868014,4
HP Spectre,Cat2,Dell,14,Good,55.36,Consumer Electronics,2017,612.62,37.18,575.44,4.58,6.27,0.85,6.36,0.21,0.62,11.21,1.17,6.86,592.940427,4
Amazon Echo,Cat3,Lenovo,21,Average,78.75,IT Equipment,1996,309.33,36.59,272.74,2.57,39.08,0.66,8.15,1.35,0.39,0.42,3.32,0.67,422.703312,5
Oculus Quest 2,Cat3,Apple,19,Average,91.25,Consumer Electronics,2012,540.25,30.07,510.18,3.2,32.77,1.32,6.9,1.19,0.9,5.61,4.76,3.23,738.036561,5
Apple Watch Series 6,Cat4,Sony,6,Broken,89.48,IT Equipment,1991,522.24,30.07,492.17,2.52,25.69,0.2,5.08,1.09,0.99,5.37,2.96,5.94,750.4080610000001,4
iPhone 12,Cat3,Sony,1,Average,53.5,Consumer Electronics,1991,443.72,28.59,415.13,0.85,4.14,2.61,1.92,1.08,0.13,11.55,4.39,6.55,176.529634,5
PS5,Cat1,Toshiba,4,Average,92.82,IT Equipment,2005,626.2,47.94,578.26,4.81,6.86,2.89,5.8,0.4,0.77,10.44,4.32,2.12,701.1170319999999,3
Oculus Quest 2,Cat4,Sony,19,Good,71.1,Consumer Electronics,2016,452.63,36.0,416.63,2.8,14.43,1.72,5.5,0.59,0.06,12.39,2.44,4.56,205.280679,4
Denon AV Receiver,Cat4,HP,18,Average,83.22,IT Equipment,2016,557.49,38.18,519.31,3.98,4.25,1.32,9.24,0.71,0.39,10.72,4.34,4.99,458.58578900000003,4
Panasonic Viera,Cat2,HP,21,Average,54.98,Consumer Electronics,2022,291.66,20.14,271.52,0.52,41.07,0.05,0.58,0.58,0.12,6.04,2.22,6.51,126.29737699999998,4
iPhone 11,Cat2,Panasonic,16,Good,83.83,IT Equipment,2006,389.69,36.85,352.84,0.71,5.16,2.26,5.47,0.48,0.77,8.54,3.79,2.42,503.55773400000004,4
DJI Mavic Air 2,Cat3,Dell,14,Broken,91.39,Appliance,2000,507.15,49.91,457.24,3.3,34.87,2.94,4.17,0.39,0.17,11.71,0.16,4.74,282.880911,5
Amazon Echo,Cat3,Samsung,17,Broken,61.74,Appliance,2010,228.12,12.68,215.44,0.31,26.49,2.03,3.82,0.23,0.08,3.22,0.67,4.57,75.140757,5
Galaxy S21,Cat3,Panasonic,14,Broken,77.99,Appliance,2001,387.54,20.73,366.81,4.29,1.13,0.05,2.82,0.85,0.23,1.57,0.17,4.68,388.66821699999997,5
Panasonic Viera,Cat2,Philips,28,Broken,60.37,Appliance,1997,437.85,33.37,404.48,1.79,10.75,2.99,1.22,1.35,0.03,11.65,1.41,4.76,179.889071,4
Surface Laptop 4,Cat1,Apple,23,Average,81.94,Consumer Electronics,1992,269.86,20.51,249.35,0.35,26.32,0.16,6.51,1.6,0.18,8.85,4.6,1.68,206.60194,3
Galaxy Tab S7,Cat4,Apple,16,Good,59.19,Appliance,1991,446.86,31.68,415.18,3.58,8.02,2.14,2.03,0.22,0.42,3.99,1.03,4.61,430.151088,4
Fire TV Stick,Cat2,Apple,3,Broken,54.15,IT Equipment,2017,405.24,28.29,376.95,2.96,35.38,1.62,7.07,1.03,0.37,0.36,3.23,4.09,414.14262799999995,4
Amazon Echo,Cat3,LG,12,Average,50.51,Appliance,2005,320.87,47.56,273.31,0.68,31.09,1.3,3.01,1.56,0.07,11.64,4.34,1.49,158.32530900000003,5
Apple Watch Series 6,Cat3,Philips,8,Broken,88.3,IT Equipment,1990,559.8,26.45,533.35,4.86,49.56,1.05,3.84,1.95,0.19,2.06,3.15,6.61,453.64538,5
Samsung QLED TV,Cat3,HP,11,Broken,62.21,Consumer Electronics,1998,352.15,40.39,311.76,0.5,6.28,2.87,4.91,1.62,0.5,0.16,3.31,4.98,400.091616,5
Sony Alpha A7,Cat1,Dell,4,Average,72.52,Consumer Electronics,2016,513.2,34.43,478.77,2.74,28.59,2.88,2.04,1.19,0.92,4.76,1.25,2.91,727.666405,3
HP Spectre,Cat1,Samsung,16,Good,59.35,Appliance,2002,631.65,15.22,616.43,4.47,4.89,2.19,3.66,0.82,0.47,14.6,3.84,3.92,534.836319,3
Dell XPS 13,Cat2,Panasonic,22,Average,50.03,Appliance,2008,534.95,30.36,504.59,4.9,9.05,2.79,0.08,0.73,0.92,4.96,0.02,0.3,808.780507,4
PS5,Cat4,Sony,7,Broken,83.01,IT Equipment,2008,519.78,16.21,503.57,2.52,38.29,0.7,9.16,1.14,0.37,12.96,3.8,5.28,398.200945,4
MacBook Pro,Cat1,Panasonic,10,Average,75.43,Consumer Electronics,2020,341.69,8.37,333.32,0.94,15.74,1.16,8.21,0.65,0.16,9.34,2.06,5.14,174.08570600000002,3
Bose SoundLink,Cat3,Panasonic,5,Good,60.55,IT Equipment,2004,476.71,36.12,440.59,0.26,36.98,2.99,7.26,0.3,0.7,9.31,3.24,6.8,432.62672399999997,5
Surface Laptop 4,Cat3,Philips,1,Broken,68.62,IT Equipment,2012,503.93,33.98,469.95,1.75,44.25,2.13,7.67,1.65,0.89,4.98,4.84,3.4,686.202859,5
Samsung Blu-ray Player,Cat2,Lenovo,4,Good,74.56,Consumer Electronics,1993,508.45,47.09,461.36,4.67,12.71,0.55,2.43,1.32,0.32,8.16,2.17,3.39,484.40992700000004,4
PS5,Cat1,Sony,17,Broken,69.68,IT Equipment,2020,563.74,10.06,553.68,3.71,40.85,1.31,6.22,0.09,0.72,13.86,3.84,2.19,601.028819,3
GoPro Hero 9,Cat2,LG,16,Good,76.26,Consumer Electronics,2012,498.11,28.81,469.3,3.17,0.92,2.22,0.03,0.62,0.21,8.07,4.13,5.99,311.386558,4
Sony Bravia TV,Cat3,Philips,17,Average,92.5,Consumer Electronics,2004,539.68,27.76,511.92,3.36,4.1,2.72,2.26,1.01,0.51,7.11,2.41,5.2,513.689376,5
Lenovo Yoga,Cat3,HP,1,Good,65.57,IT Equipment,2019,504.13,48.17,455.96,3.41,14.28,2.83,0.82,1.41,0.26,2.6,4.51,5.61,394.433776,5
Samsung QLED TV,Cat4,Lenovo,9,Good,72.27,Appliance,2003,363.88,35.93,327.95,0.73,15.92,1.26,4.28,1.62,0.36,11.55,0.97,3.06,330.19932199999994,4
Canon EOS R5,Cat4,Toshiba,5,Good,59.92,Consumer Electronics,2007,382.42,38.79,343.63,3.29,39.26,0.09,2.12,1.7,0.55,3.18,1.34,0.98,568.2237640000001,4
Dell XPS 13,Cat3,Samsung,1,Average,83.89,IT Equipment,1997,495.97,28.5,467.47,1.15,46.7,2.58,4.81,0.39,0.55,9.23,4.92,6.19,394.9920220000001,5
Panasonic Viera,Cat2,Panasonic,1,Broken,55.83,IT Equipment,1993,407.4,46.68,360.72,0.21,29.28,0.01,9.65,0.98,0.94,14.48,2.16,2.38,602.0076260000001,4
Surface Laptop 4,Cat2,Lenovo,13,Good,57.82,IT Equipment,1997,372.69,39.09,333.6,2.62,13.61,0.57,0.96,0.79,0.82,3.81,2.53,0.77,641.473033,4
Apple TV 4K,Cat3,Panasonic,18,Broken,56.08,Consumer Electronics,2016,524.95,13.37,511.58,3.62,40.27,0.72,9.6,1.7,0.29,7.3,1.3,6.3,436.41241499999995,5
Bose SoundLink,Cat2,HP,25,Average,52.77,IT Equipment,1995,472.27,9.76,462.51,3.84,46.22,0.53,2.87,0.7,0.73,7.74,1.93,1.0,645.1570979999999,4
Pixel 5,Cat1,Lenovo,14,Average,89.69,IT Equipment,2005,458.84,33.78,425.06,4.43,36.64,0.8,1.4,0.63,0.1,11.28,0.43,2.43,309.70451799999995,3
Pioneer AV Receiver,Cat2,Philips,22,Good,58.74,Appliance,1998,334.21,8.8,325.41,0.04,28.38,0.07,5.96,1.18,0.6,9.9,2.21,3.65,409.64576600000004,4
Pixel 5,Cat4,Panasonic,8,Average,66.47,Consumer Electronics,2004,668.32,39.42,628.9,3.3,24.46,1.37,5.72,1.69,0.66,14.76,4.45,6.14,632.6417700000001,4
Panasonic Viera,Cat4,Dell,5,Average,65.04,Appliance,1992,484.37,29.81,454.56,1.39,27.08,2.17,5.41,0.13,0.72,7.17,4.65,6.26,489.95398,4
Surface Pro 7,Cat3,Panasonic,24,Broken,62.11,Appliance,1992,459.7,29.01,430.69,4.09,35.78,0.47,6.29,0.91,0.36,1.38,0.15,6.4,457.04126999999994,5
Harman Kardon Speaker,Cat2,Philips,4,Average,91.62,Appliance,1997,342.34,9.23,333.11,2.12,22.97,0.52,0.76,1.9,0.51,0.62,4.45,1.82,498.83763500000003,4
Galaxy Note 20,Cat3,Dell,22,Good,68.34,IT Equipment,2003,708.3,30.42,677.88,4.01,38.41,1.89,6.21,0.39,0.99,13.69,2.7,6.07,787.2454749999998,5
Sony WH-1000XM4,Cat3,Toshiba,12,Broken,72.72,Consumer Electronics,2003,386.15,6.89,379.26,3.16,16.43,0.95,1.23,1.06,0.08,5.13,0.13,4.99,259.075863,5
LG OLED TV,Cat1,Panasonic,28,Broken,85.67,Consumer Electronics,2005,345.5,47.88,297.62,0.13,10.67,1.49,2.96,1.84,0.38,13.49,4.59,0.6,323.930079,3
iPad Pro,Cat4,Sony,11,Good,87.29,IT Equipment,1998,302.4,26.68,275.72,0.73,2.44,2.1,1.39,0.02,0.44,7.19,0.25,3.57,290.73551000000003,4
Garmin Forerunner,Cat4,Samsung,1,Broken,64.7,Appliance,2013,324.58,45.38,279.2,0.76,21.07,1.58,4.54,1.83,0.65,4.66,3.13,0.58,508.987273,4
iPhone 11,Cat2,Lenovo,16,Good,76.24,IT Equipment,1998,674.06,45.99,628.07,4.53,0.78,1.41,7.82,1.04,0.63,11.35,4.72,6.67,641.0409720000001,4
Yamaha Receiver,Cat1,Lenovo,7,Average,81.88,Appliance,2017,454.13,42.23,411.9,3.68,39.06,1.72,8.29,0.73,0.46,1.52,3.53,3.58,485.05674799999997,3
Nintendo Switch,Cat3,Sony,3,Broken,83.32,Consumer Electronics,1992,379.72,12.48,367.24,0.23,24.89,1.59,3.64,0.1,0.48,10.59,1.8,6.0,293.45523499999996,5
JBL Charge 4,Cat4,HP,11,Broken,57.44,Consumer Electronics,2011,217.13,38.56,178.57,0.33,13.64,1.33,7.82,1.71,0.12,4.35,0.85,1.97,177.66789999999997,4
Yamaha Receiver,Cat4,Toshiba,2,Broken,88.72,IT Equipment,2023,385.84,28.62,357.22,1.89,6.79,2.24,1.91,0.54,0.58,1.62,4.97,3.62,455.925417,4
Toshiba Fire TV,Cat3,Apple,24,Broken,72.63,IT Equipment,2020,513.79,49.29,464.5,4.12,1.46,1.85,9.06,1.22,0.65,3.87,2.2,3.43,641.7761999999999,5
Garmin Forerunner,Cat4,LG,1,Average,88.05,IT Equipment,2002,370.51,10.42,360.09,1.07,49.37,1.6,1.53,1.13,0.47,5.93,0.39,4.26,383.9916989999999,4
Sony WH-1000XM4,Cat3,HP,8,Average,69.43,Appliance,2008,446.83,24.76,422.07,1.99,22.43,2.73,1.45,0.44,0.42,10.55,4.61,2.45,364.12261099999995,5
LG Sound Bar,Cat4,HP,6,Broken,87.11,Consumer Electronics,1993,551.61,33.0,518.61,4.54,46.38,0.91,2.67,0.61,0.23,8.27,0.38,6.98,389.02762799999994,4
Apple Watch Series 6,Cat2,Dell,18,Broken,61.06,IT Equipment,2008,449.34,41.1,408.24,4.52,36.43,0.18,8.64,1.35,0.17,5.61,4.15,2.18,392.42374499999994,4
HP Spectre,Cat1,Toshiba,7,Average,80.38,Consumer Electronics,2012,238.96,9.06,229.9,0.2,35.0,0.94,7.72,0.19,0.67,5.73,0.89,0.79,404.720094,3
Denon AV Receiver,Cat4,Dell,10,Broken,69.79,Consumer Electronics,2021,496.07,48.14,447.93,1.84,21.84,2.53,9.42,1.25,0.68,3.72,4.04,5.95,549.2591140000002,4
Denon AV Receiver,Cat4,Sony,30,Average,84.86,IT Equipment,2018,399.5,12.41,387.09,3.2,41.07,2.72,4.03,0.02,0.23,5.01,0.77,2.94,292.149297,4
Xbox Series X,Cat3,HP,20,Good,62.3,Appliance,2017,441.49,6.25,435.24,3.3,28.15,0.43,8.7,0.85,0.91,6.82,0.74,0.69,729.630009,5
Nest Thermostat,Cat2,Samsung,22,Good,78.58,Consumer Electronics,2010,601.39,5.92,595.47,2.07,46.81,1.2,6.02,1.67,0.74,12.69,3.16,6.5,616.9094609999999,4
Nest Thermostat,Cat4,Philips,21,Average,80.74,Consumer Electronics,1993,509.22,47.91,461.31,2.41,48.64,0.41,8.46,0.02,0.98,9.53,2.97,4.29,682.013192,4
Samsung Blu-ray Player,Cat4,Dell,28,Broken,90.46,Consumer Electronics,1993,498.76,44.18,454.58,3.52,30.86,2.17,7.2,0.29,0.69,3.94,2.18,4.13,585.7102679999999,4
ThinkPad X1,Cat4,Toshiba,20,Broken,51.51,Consumer Electronics,2006,612.8,38.0,574.8,3.46,27.82,2.81,7.58,0.5,0.55,11.67,0.89,6.64,514.488014,4
Sony Alpha A7,Cat1,Lenovo,28,Average,78.7,Appliance,2022,653.92,14.18,639.74,4.12,11.11,1.65,6.4,1.56,0.74,10.9,0.08,6.62,711.850913,3
Roku Ultra,Cat3,Panasonic,4,Average,60.74,IT Equipment,2020,266.69,44.74,221.95,0.55,47.06,2.51,9.77,0.01,0.24,1.91,1.02,4.37,167.121392,5
Samsung QLED TV,Cat2,Panasonic,30,Broken,85.32,Consumer Electronics,2017,288.72,8.54,280.18,0.15,20.97,2.31,6.03,1.51,0.65,3.25,0.31,1.7,462.324121,4
Roku Ultra,Cat1,Toshiba,18,Broken,76.67,IT Equipment,1992,340.09,31.46,308.63,1.24,31.41,2.27,3.07,0.43,0.24,8.18,3.29,2.4,223.287949,3
Galaxy Note 20,Cat3,LG,28,Average,52.9,Consumer Electronics,2005,440.5,15.59,424.91,0.35,14.39,0.78,9.42,1.57,0.73,14.97,1.39,3.85,520.7129489999999,5
Galaxy Note 20,Cat2,LG,18,Average,76.75,IT Equipment,1995,622.12,10.85,611.27,3.25,24.71,2.37,5.47,1.67,0.85,14.78,2.99,1.88,738.103919,4
Pioneer AV Receiver,Cat1,Panasonic,16,Broken,83.72,Consumer Electronics,2018,615.75,38.27,577.48,4.46,42.48,2.7,1.15,0.9,0.31,12.84,3.56,3.67,447.282676,3
Fitbit Versa 3,Cat4,Apple,20,Broken,50.68,Consumer Electronics,2005,497.12,49.05,448.07,2.96,5.01,0.95,1.15,0.23,0.26,13.03,1.08,6.89,308.206183,4
Amazon Echo,Cat4,Sony,29,Average,51.72,Appliance,2002,536.29,15.52,520.77,3.91,15.72,2.16,2.53,1.57,0.9,1.3,0.34,4.03,793.662504,4
GoPro Hero 9,Cat3,LG,5,Broken,68.77,IT Equipment,2009,457.5,22.71,434.79,0.92,17.95,0.9,3.44,1.67,0.46,9.74,3.93,6.57,399.694433,5
Galaxy S21,Cat3,Samsung,29,Good,57.41,IT Equipment,1999,411.31,41.19,370.12,0.32,44.38,0.83,1.07,0.79,0.87,6.72,0.37,6.39,557.889502,5
ThinkPad X1,Cat2,Sony,28,Broken,58.51,IT Equipment,2024,404.66,20.87,383.79,3.55,28.86,1.52,1.04,1.23,0.05,3.64,0.29,4.57,270.45686399999994,4
ThinkPad X1,Cat2,Toshiba,1,Broken,78.41,Consumer Electronics,2016,467.83,48.53,419.3,4.11,34.05,1.92,9.81,0.8,0.1,4.85,1.38,4.84,303.892253,4
Sony Alpha A7,Cat4,LG,4,Broken,56.69,Appliance,2018,325.91,49.88,276.03,0.1,21.11,2.71,0.43,1.75,0.54,7.85,1.04,1.11,409.944849,4
Oculus Quest 2,Cat2,Samsung,1,Broken,52.28,Appliance,2009,402.8,32.22,370.58,0.98,23.6,2.53,8.33,0.86,0.7,10.78,2.61,0.88,497.13215599999995,4
Denon AV Receiver,Cat3,Toshiba,19,Good,63.19,Consumer Electronics,2004,463.83,40.38,423.45,1.71,4.67,2.36,6.99,0.12,0.44,13.54,3.95,3.95,344.6009849999999,5
iPhone 11,Cat3,Sony,8,Good,73.66,IT Equipment,2004,520.08,42.62,477.46,1.7,44.85,1.74,5.39,1.16,0.85,12.55,2.11,3.17,634.3818910000001,5
Samsung Blu-ray Player,Cat2,Lenovo,22,Average,61.44,Consumer Electronics,2000,727.33,26.4,700.93,4.17,46.52,2.04,9.76,1.82,0.55,14.44,4.69,6.18,619.7720140000001,4
Panasonic Viera,Cat3,Lenovo,28,Good,63.49,IT Equipment,1990,291.06,42.42,248.64,1.79,9.48,1.71,9.34,0.51,0.32,5.77,0.25,1.46,299.8813600000001,5
Apple TV 4K,Cat1,HP,6,Average,60.28,Consumer Electronics,2022,648.92,26.81,622.11,3.92,39.02,1.38,0.26,0.22,0.79,14.2,0.57,6.36,658.8200919999999,3
Pioneer AV Receiver,Cat3,Dell,28,Good,83.54,Consumer Electronics,2004,550.18,32.13,518.05,2.27,9.5,0.25,0.22,0.04,0.96,11.28,4.73,6.49,664.8328979999999,5
Samsung QLED TV,Cat2,Sony,25,Average,87.66,Consumer Electronics,2007,381.95,41.97,339.98,2.52,26.41,1.92,3.41,0.77,0.44,6.82,2.72,0.75,418.596657,4
iPhone 12,Cat4,Sony,3,Broken,55.5,Appliance,1998,397.11,35.43,361.68,0.52,27.99,1.55,2.21,1.94,0.73,1.55,4.64,4.88,549.342129,4
Galaxy Tab S7,Cat3,HP,26,Average,69.59,Consumer Electronics,2016,308.76,9.47,299.29,0.89,16.27,2.05,8.09,0.35,0.37,6.47,2.97,2.44,276.102747,5
Ring Doorbell,Cat2,LG,29,Good,63.06,IT Equipment,2001,627.98,6.44,621.54,2.86,30.61,2.56,3.56,1.99,0.93,10.16,2.77,4.1,782.201767,4
Roku Ultra,Cat4,Lenovo,19,Broken,61.56,Appliance,1996,571.76,8.81,562.95,4.82,20.35,2.32,9.41,0.97,0.37,14.59,1.55,0.89,502.539725,4
Oculus Quest 2,Cat2,Samsung,28,Broken,69.68,Consumer Electronics,1997,346.85,23.42,323.43,0.01,34.41,1.38,4.7,1.24,0.62,1.65,1.6,6.71,423.791225,4
Pioneer AV Receiver,Cat2,HP,22,Good,66.9,IT Equipment,2022,511.9,23.81,488.09,4.47,31.2,1.54,8.72,0.11,0.36,10.51,1.12,3.06,433.263992,4
Nintendo Switch,Cat2,HP,25,Broken,79.24,IT Equipment,2007,262.19,44.89,217.3,0.14,43.82,2.41,4.36,0.49,0.23,2.2,1.52,4.44,166.91735199999997,4
Lenovo Yoga,Cat2,Dell,25,Good,71.66,IT Equipment,1991,529.33,25.32,504.01,2.9,15.93,0.15,8.57,1.73,0.63,8.67,4.95,4.91,597.019625,4
Amazon Echo,Cat4,HP,24,Average,94.43,IT Equipment,2011,291.74,7.59,284.15,0.94,11.23,0.53,4.77,1.65,0.46,1.75,0.94,4.07,398.959349,4
Lenovo Yoga,Cat3,Lenovo,1,Average,51.54,Consumer Electronics,1995,414.49,18.08,396.41,3.34,34.54,0.2,0.12,0.89,0.79,3.14,2.8,1.31,664.91179,5
Samsung Blu-ray Player,Cat2,Philips,22,Broken,51.63,Appliance,2000,247.73,33.06,214.67,0.74,25.2,1.91,3.09,0.62,0.41,2.13,3.72,0.93,305.86264199999994,4
Roku Ultra,Cat3,HP,15,Average,54.4,Appliance,2009,437.36,35.55,401.81,3.39,24.05,0.66,7.16,0.55,0.53,10.83,3.0,0.48,500.43732499999993,5
Apple TV 4K,Cat1,Panasonic,19,Broken,90.19,Consumer Electronics,2005,462.86,33.09,429.77,1.38,0.53,1.63,7.42,0.46,0.98,9.1,0.42,4.81,655.5515269999999,3
JBL Charge 4,Cat4,Toshiba,13,Average,82.8,Consumer Electronics,1993,409.17,37.84,371.33,4.63,39.68,0.04,9.07,0.62,0.41,6.9,0.69,0.02,495.90135399999997,4
Apple TV 4K,Cat2,Lenovo,14,Good,76.25,Consumer Electronics,2009,490.53,9.38,481.15,3.6,25.17,2.53,7.47,0.8,0.09,5.31,0.4,6.97,273.629395,4
LG OLED TV,Cat4,Panasonic,27,Good,78.54,Appliance,2017,505.59,32.94,472.65,4.02,5.8,1.61,1.31,1.0,0.81,3.62,3.11,2.43,716.5413560000002,4
ThinkPad X1,Cat3,Apple,24,Average,55.8,Appliance,2001,329.64,49.72,279.92,0.72,6.8,1.39,0.25,1.87,0.16,7.05,2.43,4.27,228.639768,5
MacBook Pro,Cat1,Panasonic,1,Broken,87.97,IT Equipment,2004,382.29,6.08,376.21,3.05,33.98,1.76,4.12,0.55,0.67,2.13,2.56,0.46,564.472866,3
Samsung Blu-ray Player,Cat4,Apple,23,Broken,73.07,IT Equipment,1997,498.25,32.29,465.96,4.66,29.09,0.67,0.39,1.69,0.16,10.69,4.66,0.75,411.990571,4
Galaxy S21,Cat3,Sony,8,Good,83.13,Consumer Electronics,2013,473.54,7.07,466.47,0.1,35.43,1.42,9.64,1.83,0.52,14.45,3.1,5.56,402.643595,5
Fitbit Versa 3,Cat3,Panasonic,18,Average,51.09,IT Equipment,1990,434.06,13.42,420.64,1.79,42.69,0.67,1.35,0.78,0.38,12.18,1.0,4.8,348.652755,5
Sony Bravia TV,Cat2,Apple,4,Average,81.14,Consumer Electronics,2014,490.42,38.44,451.98,3.64,36.42,1.29,4.98,1.12,0.11,9.31,4.82,3.76,303.33541199999996,4
Pixel 5,Cat2,Apple,23,Broken,89.69,IT Equipment,1997,261.4,8.34,253.06,0.02,1.75,0.85,5.55,0.3,0.73,1.53,2.87,4.02,436.31502699999993,4
Lenovo Yoga,Cat2,Toshiba,25,Good,86.96,IT Equipment,2021,506.62,9.83,496.79,1.52,36.97,1.9,4.79,1.86,0.51,10.03,0.46,6.37,468.54870100000005,4
Apple TV 4K,Cat3,Lenovo,26,Broken,70.66,Appliance,2006,473.55,40.48,433.07,2.16,35.72,2.85,3.91,0.38,0.13,11.62,4.82,4.5,203.41748199999998,5
Panasonic Viera,Cat2,Samsung,7,Good,57.89,Consumer Electronics,2022,360.06,38.68,321.38,1.28,47.72,1.83,8.34,1.93,0.05,6.93,1.66,3.84,196.638386,4
Dell XPS 13,Cat3,Lenovo,28,Average,54.75,Appliance,1993,518.66,26.99,491.67,4.63,43.35,0.99,3.07,0.63,0.27,4.02,3.79,5.51,417.33701900000005,5
Denon AV Receiver,Cat3,LG,21,Broken,80.11,Appliance,2017,483.31,8.26,475.05,3.93,45.67,0.36,9.26,1.46,0.17,9.01,1.19,4.21,369.64672900000005,5
LG OLED TV,Cat4,HP,2,Good,54.12,Appliance,2003,445.41,47.57,397.84,2.66,39.99,3.0,8.16,0.47,0.16,9.34,2.51,3.21,249.892421,4
Ring Doorbell,Cat2,HP,20,Good,65.34,IT Equipment,2008,406.42,11.08,395.34,1.06,42.69,0.75,0.15,1.14,0.62,4.55,2.15,6.17,469.686765,4
Apple Watch Series 6,Cat2,LG,28,Broken,55.86,Appliance,2003,450.01,19.45,430.56,4.15,9.94,0.06,7.99,0.96,0.32,5.18,4.93,3.32,439.283248,4
Yamaha Receiver,Cat2,Toshiba,6,Broken,80.4,Appliance,2007,239.32,17.5,221.82,1.32,31.91,0.37,0.06,0.96,0.41,0.56,2.5,1.61,351.73872499999993,4
LG OLED TV,Cat2,Panasonic,25,Average,63.6,IT Equipment,2009,615.54,43.81,571.73,4.46,10.37,2.26,4.47,1.61,0.46,11.93,0.92,4.3,570.943237,4
Apple Watch Series 6,Cat3,Sony,23,Broken,83.81,Consumer Electronics,2001,762.0,39.88,722.12,4.7,44.74,2.62,7.43,1.92,0.79,14.29,4.03,4.32,788.8217280000001,5
Garmin Forerunner,Cat2,Philips,24,Good,70.43,Appliance,2023,384.04,28.55,355.49,1.93,35.87,2.45,9.95,1.7,0.39,8.87,0.67,0.14,411.04036700000006,4
HP Spectre,Cat2,Panasonic,6,Broken,78.07,IT Equipment,2016,292.12,16.86,275.26,2.24,42.52,0.24,6.79,0.93,0.71,0.49,0.85,0.27,567.02649,4
iPad Pro,Cat3,Sony,17,Average,58.98,Consumer Electronics,2003,482.3,41.28,441.02,2.87,17.56,1.58,8.7,1.9,0.31,10.42,3.96,2.47,421.87957600000004,5
Amazon Echo,Cat2,Panasonic,10,Average,52.79,Appliance,2019,517.48,49.16,468.32,2.65,16.98,1.04,9.33,0.19,0.9,10.92,3.49,3.54,657.3113640000001,4
Fire TV Stick,Cat4,Panasonic,3,Broken,80.11,IT Equipment,1994,571.75,13.28,558.47,3.75,39.38,1.31,1.85,1.99,0.43,13.5,4.48,1.82,538.592608,4
Samsung QLED TV,Cat1,Panasonic,26,Average,91.54,Consumer Electronics,2016,462.48,22.64,439.84,3.12,19.13,1.36,7.27,0.35,0.23,9.85,0.17,5.83,305.41096699999997,3
Galaxy Tab S7,Cat2,Lenovo,7,Broken,93.48,IT Equipment,1994,478.77,31.72,447.05,1.87,14.11,2.82,7.09,0.68,0.34,12.73,2.7,4.3,325.4557750000001,4
Samsung Galaxy Watch 3,Cat3,LG,3,Good,72.5,Appliance,1998,313.71,36.2,277.51,1.79,46.26,1.58,7.4,1.51,0.11,8.17,0.4,0.67,233.10621,5
iPhone 12,Cat1,Samsung,17,Average,51.87,IT Equipment,2023,369.35,5.86,363.49,3.02,10.95,0.14,4.58,1.16,0.46,2.75,1.17,3.39,474.64245700000004,3
Fire TV Stick,Cat2,Samsung,26,Average,93.97,Appliance,2001,133.46,25.19,108.27,0.49,7.38,0.49,5.22,0.38,0.1,0.79,3.31,1.56,102.266846,4
Roku Ultra,Cat2,Sony,25,Broken,61.28,Appliance,1998,387.75,12.14,375.61,1.25,44.01,2.46,8.81,1.09,0.54,7.54,2.11,1.7,431.081611,4
Google Home,Cat2,LG,4,Broken,93.32,Consumer Electronics,2005,441.77,22.68,419.09,2.15,33.27,2.32,6.77,0.37,0.49,14.16,0.16,1.54,408.01335099999994,4
Samsung Blu-ray Player,Cat2,Samsung,18,Average,68.26,Consumer Electronics,1996,641.51,43.69,597.82,4.28,4.84,1.53,1.51,0.82,0.8,13.23,2.33,4.55,714.2271479999999,4
Canon EOS R5,Cat4,Dell,24,Good,56.95,Appliance,1999,540.17,37.64,502.53,4.16,2.06,0.75,2.84,0.32,0.98,2.21,0.94,6.28,784.2193239999999,4
