Item,Category,Gold,Silver,Platinum,Rhodium,Nickel,Tin,Lithium,Aluminum,Carbon,Profit ($)
Speaker,Cat4,1.96,8.38,3.47,6.9,6.32,5.06,3.35,1.15,7.88,287.22
Stove,Cat1,6.15,5.36,6.17,7.61,5.09,2.06,4.26,3.18,2.92,635.96
Monitor,Cat4,0.93,0.64,7.77,9.85,3.91,6.26,7.97,8.19,6.42,462.56
TV,Cat4,9.99,5.54,6.82,6.13,9.58,1.34,9.76,1.36,2.15,859.62
Air Conditioner,Cat1,6.89,5.26,9.47,4.1,8.5,8.39,2.82,5.52,8.52,849.25
Tablet,Cat3,2.62,6.47,5.7,7.41,5.72,0.65,2.65,9.61,9.65,437.95
iPhone 11,Cat3,2.54,7.41,0.43,2.65,8.63,5.9,1.69,1.31,7.69,152.32
Smartphone,Cat3,6.53,2.21,3.11,9.4,3.42,9.86,5.21,4.15,6.58,488.99
Smartphone,Cat3,5.75,8.34,3.06,0.55,4.42,8.64,4.38,8.81,6.66,451.49
Iron,Cat2,8.63,3.25,5.28,7.99,6.41,3.78,5.67,7.67,8.7,708.97
Washing Machine,Cat1,8.69,1.84,2.96,2.2,5.13,6.95,4.92,7.54,8.25,586.85
Toaster,Cat2,8.55,4.25,3.38,9.24,2.3,9.1,6.24,1.32,5.5,603.85
Speaker,Cat4,6.41,7.6,5.23,6.79,7.92,8.7,6.94,5.68,1.88,599.82
Toaster,Cat2,1.87,8.66,1.72,4.99,4.63,0.88,2.08,6.03,0.2,189.09
Fridge,Cat1,7.81,4.53,7.0,2.41,7.92,4.98,9.14,2.74,6.02,761.62
Fridge,Cat1,7.57,0.31,7.61,3.7,7.62,4.15,5.99,4.88,3.98,780.07
Washing Machine,Cat1,1.73,2.52,9.02,2.01,4.5,6.69,7.34,0.72,7.55,569.94
Washing Machine,Cat1,8.85,8.25,9.18,3.17,5.43,7.73,3.84,1.69,2.39,931.67
Iron,Cat2,4.09,1.82,1.8,7.85,4.79,2.12,3.25,0.93,9.83,298.56
Stove,Cat1,4.54,7.15,8.04,4.84,1.39,5.18,2.0,6.16,5.19,658.08
Vacuum Cleaner,Cat2,8.26,1.33,8.54,8.43,1.2,9.51,6.68,9.45,0.17,864.4
Stove,Cat1,4.25,7.4,5.54,1.12,0.72,9.71,9.4,9.53,8.18,510.1
Vacuum Cleaner,Cat2,6.51,0.13,1.02,0.76,6.64,4.8,8.05,8.81,6.82,374.78
Vacuum Cleaner,Cat2,8.85,1.74,3.53,1.96,0.33,8.05,4.01,3.56,2.89,625.15
Tablet,Cat3,3.19,0.37,1.12,2.68,1.12,1.53,2.87,1.17,3.91,217.01
Vacuum Cleaner,Cat2,8.27,7.99,7.21,0.35,5.07,8.74,5.35,8.8,2.05,797.49
Stove,Cat1,8.04,7.08,5.85,9.63,3.41,5.71,0.56,1.42,2.55,712.71
Fridge,Cat1,7.94,3.18,6.06,1.61,8.96,4.19,3.42,2.71,3.19,716.87
Washing Machine,Cat1,2.08,2.57,2.83,8.14,9.6,8.78,1.13,6.27,3.58,255.61
Toaster,Cat2,4.32,6.02,6.06,3.9,7.2,5.59,8.91,4.99,0.89,540.62
Laptop,Cat3,6.08,3.68,0.2,5.3,9.71,4.87,7.19,7.44,2.59,311.8
Vacuum Cleaner,Cat2,3.96,8.07,3.08,0.35,1.21,2.0,5.93,5.64,0.95,364.29
iPhone 11,Cat3,6.46,6.11,8.37,7.37,3.48,0.25,5.74,1.36,0.97,769.45
Microwave Oven,Cat2,0.42,4.77,3.09,7.48,0.27,5.13,1.34,8.81,9.36,189.03
TV,Cat4,9.87,5.29,0.83,8.02,1.81,5.7,2.27,0.33,8.78,532.61
Washing Machine,Cat1,8.63,8.72,2.16,6.02,7.46,2.38,1.58,3.7,0.41,544.92
Laptop,Cat3,4.75,5.91,9.82,7.97,4.65,2.11,2.28,8.29,8.29,763.05
Laptop,Cat3,4.47,7.2,3.73,1.08,5.5,2.36,9.8,2.92,3.21,423.74
Audio Equipment,Cat4,2.08,9.32,9.88,8.01,9.01,2.68,8.9,3.23,5.07,637.1
Washing Machine,Cat1,7.61,7.71,7.43,8.61,4.07,5.15,1.61,6.84,7.92,776.6
Tablet,Cat3,0.96,5.09,5.73,6.67,8.6,8.78,8.78,5.15,5.73,357.39
Audio Equipment,Cat4,9.83,4.86,8.72,0.48,2.73,7.27,8.43,0.42,4.85,953.19
iPhone 11,Cat3,2.95,1.59,3.88,7.4,9.34,7.67,1.5,4.2,1.02,354.03
Speaker,Cat4,1.43,3.64,4.25,2.17,8.08,3.74,3.48,2.99,3.9,300.25
Monitor,Cat4,7.08,6.56,9.82,2.98,5.67,4.86,5.08,1.79,1.07,877.98
Toaster,Cat2,3.65,8.13,0.81,6.09,4.99,5.71,2.81,3.12,9.09,227.58
TV,Cat4,2.86,2.74,5.15,3.03,4.54,0.86,6.16,1.07,5.11,418.12
Speaker,Cat4,2.67,0.14,9.02,7.2,8.21,2.13,1.2,5.36,4.6,614.73
Vacuum Cleaner,Cat2,0.18,7.62,7.98,0.76,5.78,7.55,5.23,3.43,8.08,441.01
Laptop,Cat3,6.23,7.11,6.72,4.53,0.54,3.04,9.12,4.0,2.28,670.32
Toaster,Cat2,3.91,9.62,2.64,2.19,3.02,9.32,7.62,7.34,3.86,339.3
Toaster,Cat2,5.43,8.72,8.5,9.53,5.24,2.71,7.69,7.83,6.06,727.37
Fridge,Cat1,5.83,0.36,9.1,1.81,8.59,5.85,4.45,9.45,4.23,774.49
Smartphone,Cat3,6.47,7.22,6.07,6.52,7.07,9.45,1.77,7.87,3.58,647.56
Stove,Cat1,9.55,2.04,9.55,9.07,8.78,5.39,3.48,3.83,7.75,982.34
Speaker,Cat4,0.28,6.65,9.79,1.94,9.8,4.15,6.72,2.87,3.5,542.34
Speaker,Cat4,4.5,5.48,9.56,8.35,6.88,2.21,2.98,5.31,5.93,736.62
Vacuum Cleaner,Cat2,6.4,7.1,9.56,0.37,8.47,6.51,8.24,0.85,9.49,831.01
Fridge,Cat1,2.56,2.84,4.57,3.01,6.52,4.84,9.89,3.96,4.75,372.46
Vacuum Cleaner,Cat2,1.38,9.19,6.95,5.12,0.85,9.11,6.63,6.73,8.32,445.64
Tablet,Cat3,5.29,6.56,8.63,5.61,3.46,7.88,9.74,1.94,2.69,726.29
Microwave Oven,Cat2,6.08,6.41,4.67,1.81,1.5,6.75,0.18,9.53,5.09,552.79
Speaker,Cat4,6.05,7.65,4.05,0.97,7.74,2.1,4.3,5.32,9.22,518.81
Tablet,Cat3,5.65,1.6,7.45,4.72,6.08,6.36,7.51,9.0,5.58,677.92
Laptop,Cat3,3.12,7.25,1.27,8.11,0.51,5.58,0.72,2.98,6.63,225.62
iPhone 11,Cat3,2.55,8.76,2.47,6.35,4.99,3.37,3.01,5.93,4.34,262.79
Audio Equipment,Cat4,6.34,6.61,0.58,2.45,2.81,4.91,4.97,0.57,3.18,346.52
Tablet,Cat3,2.64,9.64,7.37,6.29,6.07,7.92,0.33,2.55,7.59,530.37
iPhone 11,Cat3,8.76,7.49,8.17,2.24,7.63,0.11,2.59,5.6,0.77,872.59
Monitor,Cat4,8.28,9.89,6.01,4.44,6.72,7.52,3.84,3.21,0.36,734.77
Washing Machine,Cat1,3.52,6.47,6.52,8.89,3.19,4.44,2.61,1.35,6.1,526.14
Washing Machine,Cat1,0.58,4.88,1.73,1.24,2.94,3.87,6.78,8.16,6.73,124.1
Laptop,Cat3,7.15,2.43,1.12,8.05,7.68,7.43,1.0,4.35,8.94,412.97
Monitor,Cat4,1.02,0.68,6.75,6.81,0.27,0.95,8.67,7.72,0.53,412.2
Stove,Cat1,6.94,0.59,2.93,2.16,4.91,9.88,0.64,8.44,4.52,498.59
Fridge,Cat1,8.17,7.72,4.9,6.65,4.67,1.68,1.69,6.78,5.23,668.51
Laptop,Cat3,6.73,8.55,6.9,4.67,8.2,1.03,1.2,2.56,4.31,705.43
Laptop,Cat3,6.72,5.27,7.35,7.58,8.73,1.83,0.91,3.89,2.83,727.19
Vacuum Cleaner,Cat2,3.76,2.62,3.05,9.89,5.95,5.4,8.01,1.88,2.53,349.86
Washing Machine,Cat1,4.27,9.25,0.68,5.56,6.2,7.11,1.91,2.26,7.05,251.77
Toaster,Cat2,4.38,7.34,4.93,7.67,5.58,6.93,8.84,0.67,3.07,483.78
Fridge,Cat1,4.67,0.43,9.57,3.0,6.93,2.14,0.77,7.67,5.11,742.62
Monitor,Cat4,2.54,0.91,0.95,2.8,9.68,3.6,9.14,8.18,2.63,176.43
Washing Machine,Cat1,0.48,9.37,6.21,6.52,5.8,7.72,9.85,8.35,7.32,361.92
Microwave Oven,Cat2,4.36,8.57,8.52,8.0,1.29,5.47,4.59,8.44,3.24,675.77
Toaster,Cat2,8.13,2.97,8.99,4.66,0.39,6.66,8.05,0.82,9.98,883.0
Air Conditioner,Cat1,4.14,7.02,8.18,2.93,4.56,9.84,4.79,3.74,1.95,645.98
Stove,Cat1,8.07,8.59,4.7,9.96,2.14,2.83,3.41,1.36,0.32,653.36
Speaker,Cat4,0.38,1.64,1.59,3.86,4.13,3.88,3.1,0.13,0.36,104.94
Toaster,Cat2,1.65,1.57,7.19,4.71,5.73,2.44,0.56,9.02,9.1,467.35
Stove,Cat1,1.14,3.31,9.65,0.68,0.95,8.45,6.21,9.28,5.14,575.14
TV,Cat4,2.55,3.93,8.21,6.49,4.34,9.66,6.14,0.31,6.2,567.69
Stove,Cat1,6.64,8.53,1.03,7.61,8.91,7.55,5.46,6.33,1.29,386.6
Fridge,Cat1,3.45,7.1,0.87,8.3,6.43,1.66,4.33,6.8,7.22,220.32
Stove,Cat1,4.43,1.66,9.25,1.5,7.4,0.98,7.27,5.22,3.99,714.37
iPhone 11,Cat3,2.35,9.31,5.69,9.57,7.53,4.93,5.27,0.17,5.98,425.88
Toaster,Cat2,7.44,4.64,5.28,1.02,9.42,2.7,5.32,7.85,7.86,651.32
Washing Machine,Cat1,5.46,9.41,5.72,9.53,7.48,5.56,7.93,0.51,3.62,580.37
Monitor,Cat4,3.07,7.38,2.81,1.89,7.03,9.04,9.54,3.42,8.76,305.91
Washing Machine,Cat1,9.3,0.86,7.0,9.95,3.87,2.69,8.02,5.85,1.76,832.63
Iron,Cat2,9.29,1.12,9.7,0.17,4.89,6.78,9.49,1.23,7.32,977.05
Toaster,Cat2,4.87,1.52,4.38,0.42,6.99,1.01,9.44,9.69,3.48,474.96
Toaster,Cat2,1.16,9.97,7.26,8.77,6.56,0.52,3.38,5.69,6.4,451.81
Washing Machine,Cat1,8.62,6.01,2.73,3.43,5.37,6.3,3.58,0.97,8.56,573.46
Fridge,Cat1,0.28,1.63,7.11,7.2,1.28,9.06,1.6,6.87,6.85,395.84
Air Conditioner,Cat1,7.16,1.98,6.59,8.92,1.97,4.57,8.94,5.91,4.05,706.16
Laptop,Cat3,0.22,4.49,2.87,1.37,4.13,4.77,3.36,9.25,3.18,167.31
Fridge,Cat1,5.54,2.47,4.66,9.88,1.13,4.49,0.9,5.54,9.3,523.42
Tablet,Cat3,0.93,0.26,4.12,9.4,4.78,7.19,3.78,7.46,2.73,266.8
Toaster,Cat2,0.85,4.26,7.11,1.24,6.65,7.81,0.99,2.38,5.18,425.41
Toaster,Cat2,7.68,2.67,8.08,8.78,8.57,4.5,6.05,5.31,4.16,812.03
Vacuum Cleaner,Cat2,5.2,3.05,4.09,4.74,9.41,9.03,4.0,7.14,7.8,476.7
Stove,Cat1,3.17,9.18,1.12,4.52,6.0,8.08,9.46,7.04,1.99,221.27
Monitor,Cat4,6.83,2.83,1.47,5.9,1.98,4.15,6.46,2.4,2.29,416.09
Monitor,Cat4,2.65,8.4,0.99,4.47,8.37,5.25,0.53,3.67,5.26,188.28
Monitor,Cat4,7.38,9.33,4.94,9.68,5.32,8.36,6.42,0.48,4.31,632.89
Microwave Oven,Cat2,4.93,0.76,0.61,8.96,3.81,5.48,5.46,8.38,9.23,275.52
Smartphone,Cat3,0.51,3.44,1.32,0.86,3.03,7.04,8.18,2.8,6.22,97.93
Monitor,Cat4,5.71,6.29,7.71,7.84,9.22,5.43,4.26,7.86,5.98,697.51
Vacuum Cleaner,Cat2,0.78,1.9,5.05,7.02,6.14,9.41,2.35,6.23,9.73,310.26
iPhone 11,Cat3,8.22,8.1,4.67,8.81,6.28,5.34,0.8,8.89,3.41,658.95
Washing Machine,Cat1,3.88,7.04,7.06,8.94,4.23,5.45,5.79,4.34,1.45,573.12
Monitor,Cat4,4.56,6.97,5.25,2.1,2.19,1.38,0.48,9.2,5.43,509.41
Stove,Cat1,6.61,5.24,7.37,2.59,7.64,1.19,2.5,6.16,4.55,722.81
Tablet,Cat3,7.33,7.95,3.84,5.5,1.66,4.05,8.91,3.6,4.51,570.57
Laptop,Cat3,6.19,8.95,0.93,4.88,8.63,7.59,0.44,5.98,4.1,359.37
iPhone 11,Cat3,3.23,5.73,9.91,8.67,5.78,4.67,8.44,1.49,1.3,693.15
Microwave Oven,Cat2,8.43,4.85,2.83,5.98,2.28,8.04,4.63,4.66,6.88,568.81
Stove,Cat1,5.36,5.41,2.42,2.21,4.43,7.14,6.29,1.19,3.22,396.33
Fridge,Cat1,9.33,9.95,2.99,8.86,5.86,2.29,0.55,5.15,6.81,624.47
Washing Machine,Cat1,3.87,1.97,4.48,4.8,5.99,1.78,0.18,7.5,7.4,431.44
Air Conditioner,Cat1,0.25,2.4,9.61,4.26,8.41,7.89,8.78,1.17,9.52,528.84
Iron,Cat2,1.27,4.59,4.95,8.17,4.73,5.89,8.7,2.91,6.67,330.43
Air Conditioner,Cat1,2.27,8.68,0.29,2.97,7.2,3.34,4.18,1.0,9.37,132.21
TV,Cat4,3.18,4.07,5.15,8.85,6.15,3.82,5.7,7.02,3.62,434.68
Stove,Cat1,2.02,2.1,4.87,1.84,2.21,6.28,1.73,6.84,6.3,361.55
Microwave Oven,Cat2,1.7,3.03,6.74,6.27,8.16,4.82,5.6,8.65,7.62,446.61
Audio Equipment,Cat4,9.56,2.99,2.55,7.51,4.59,8.36,2.35,8.09,3.91,608.3
Laptop,Cat3,1.87,6.54,7.02,6.02,2.56,5.66,5.42,4.45,2.12,471.91
Laptop,Cat3,5.63,5.64,4.05,9.9,1.16,1.99,0.12,4.29,5.75,496.92
TV,Cat4,3.14,4.44,6.21,6.6,3.4,3.87,9.27,3.84,9.03,489.69
Laptop,Cat3,8.15,4.89,4.56,4.46,1.91,8.09,8.82,8.53,3.2,647.77
Fridge,Cat1,6.1,1.7,2.11,3.59,7.62,7.43,2.34,1.55,5.8,414.0
Air Conditioner,Cat1,2.33,6.18,3.17,6.62,2.42,6.7,0.78,9.67,3.78,288.04
Speaker,Cat4,1.09,5.69,8.48,7.28,2.86,7.59,0.98,6.9,8.83,511.37
Stove,Cat1,3.76,6.63,1.6,6.28,8.4,1.49,3.46,5.76,9.05,274.43
TV,Cat4,9.56,8.46,9.41,9.2,5.93,2.37,10.0,5.18,8.31,978.91
Smartphone,Cat3,6.73,9.41,1.56,3.87,9.26,8.3,9.11,7.06,9.62,419.95
Air Conditioner,Cat1,6.07,9.27,0.19,4.29,2.87,4.42,8.1,9.84,7.3,313.87
Stove,Cat1,5.7,7.04,0.33,1.09,9.48,6.48,8.99,7.08,6.25,302.04
Smartphone,Cat3,2.83,4.74,4.75,8.21,8.17,2.32,2.87,8.12,4.38,396.44
Laptop,Cat3,6.41,7.74,7.41,6.77,5.16,8.48,8.03,7.17,2.85,716.66
Washing Machine,Cat1,4.25,7.91,6.12,8.61,8.29,6.59,0.41,8.51,9.51,541.51
Washing Machine,Cat1,0.33,2.68,0.59,4.09,2.81,8.52,1.71,3.88,7.19,49.56
Air Conditioner,Cat1,3.04,3.0,9.81,8.69,9.7,0.84,2.42,5.41,3.66,676.87
Air Conditioner,Cat1,1.65,2.46,3.34,4.89,7.59,0.91,0.23,4.51,2.69,261.57
Iron,Cat2,7.47,5.75,7.93,7.62,4.18,4.02,1.02,1.36,7.93,795.37
Iron,Cat2,9.44,2.45,3.33,9.95,0.21,0.86,0.49,5.29,9.87,643.69
Microwave Oven,Cat2,9.76,0.49,4.8,9.05,7.15,1.66,5.79,9.91,9.01,737.17
Air Conditioner,Cat1,4.21,5.37,0.89,1.52,5.58,0.81,6.79,1.14,8.39,257.72
iPhone 11,Cat3,4.08,3.0,5.21,0.45,1.44,4.56,7.2,3.27,4.51,481.46
Vacuum Cleaner,Cat2,3.38,8.32,2.45,8.14,6.46,9.14,8.6,0.76,3.03,302.38
Vacuum Cleaner,Cat2,2.98,9.27,0.25,0.51,9.08,6.11,2.67,9.97,2.13,165.37
TV,Cat4,7.13,3.43,3.29,4.01,5.66,7.67,5.72,6.45,1.37,528.81
Fridge,Cat1,0.13,7.86,7.25,1.54,9.86,0.79,3.96,6.82,8.07,399.51
Fridge,Cat1,7.46,1.18,1.62,2.59,0.84,2.46,7.81,9.1,6.62,454.09
Monitor,Cat4,5.63,8.59,4.58,9.43,3.6,3.38,9.52,1.91,6.95,527.07
Laptop,Cat3,5.45,6.86,5.92,5.5,3.37,2.04,2.46,2.93,5.6,589.01
Fridge,Cat1,6.86,0.85,9.48,6.82,3.12,3.66,1.2,3.88,1.98,845.62
iPhone 11,Cat3,3.92,4.3,8.74,1.23,7.95,1.67,3.46,2.16,6.0,663.52
Fridge,Cat1,4.63,2.91,5.6,6.85,9.28,4.06,4.69,3.4,0.73,529.43
Speaker,Cat4,5.03,2.67,8.8,5.34,9.37,8.87,5.81,0.78,0.16,720.49
Stove,Cat1,8.9,0.81,6.57,9.54,9.05,8.87,2.07,8.53,5.49,790.09
Fridge,Cat1,4.64,2.04,2.53,1.06,6.56,3.87,6.2,7.49,2.22,364.88
Tablet,Cat3,3.87,8.95,8.67,9.53,2.37,1.87,0.56,6.31,3.93,659.9
Toaster,Cat2,2.22,4.75,3.06,7.99,5.13,1.99,8.71,4.32,2.35,275.87
iPhone 11,Cat3,3.98,8.11,2.6,9.76,5.13,7.76,5.23,5.55,6.27,339.74
Toaster,Cat2,2.1,7.77,0.93,7.98,1.13,4.13,5.07,9.09,4.54,157.56
TV,Cat4,0.31,8.37,4.71,9.85,7.69,9.74,8.24,0.8,0.97,272.68
Toaster,Cat2,3.14,5.41,6.28,7.26,9.69,7.26,2.72,9.97,8.27,494.15
Audio Equipment,Cat4,8.79,2.58,4.52,4.61,3.13,5.4,5.45,9.87,5.15,675.71
Stove,Cat1,6.05,9.35,6.87,2.1,0.86,6.52,2.52,4.55,3.2,670.87
Stove,Cat1,8.46,7.29,3.37,4.55,9.52,1.14,5.33,9.92,6.92,600.59
Laptop,Cat3,9.18,5.22,4.94,6.42,5.86,1.52,4.2,4.06,9.21,718.86
Laptop,Cat3,5.47,7.72,8.34,0.95,9.62,6.36,5.71,0.17,2.77,720.32
Smartphone,Cat3,3.3,5.37,4.84,4.54,4.85,2.6,8.74,1.89,9.92,424.67
TV,Cat4,6.98,4.83,2.11,8.42,7.34,0.93,6.46,1.32,2.88,458.91
Washing Machine,Cat1,7.74,3.8,7.68,8.29,5.41,7.98,8.35,5.56,0.24,794.22
Speaker,Cat4,0.52,2.19,1.05,0.19,0.42,8.14,4.92,3.43,8.6,83.22
Fridge,Cat1,2.87,4.82,5.4,0.6,0.36,6.75,6.98,7.52,0.74,433.25
Toaster,Cat2,1.94,9.23,3.22,1.01,5.88,7.58,2.34,4.15,6.91,273.37
Speaker,Cat4,0.58,7.75,7.3,8.78,3.33,6.09,6.0,3.59,6.6,424.24
Fridge,Cat1,2.89,7.42,7.19,3.45,9.18,7.94,5.61,2.28,9.73,531.78
Toaster,Cat2,0.68,6.51,1.97,3.79,5.57,8.2,2.95,4.27,7.81,142.93
Vacuum Cleaner,Cat2,3.8,6.46,9.84,2.85,0.48,6.38,8.69,6.72,9.48,717.78
Monitor,Cat4,5.13,5.48,9.03,0.7,5.64,8.59,3.17,7.16,5.05,739.28
iPhone 11,Cat3,8.73,3.34,3.09,2.22,3.43,8.18,5.17,2.88,9.55,596.64
TV,Cat4,2.25,0.24,3.16,9.7,8.94,4.27,7.57,9.99,4.14,280.21
Fridge,Cat1,1.05,2.11,4.67,1.99,8.17,1.29,1.52,2.34,4.28,303.16
Air Conditioner,Cat1,0.91,4.6,2.93,3.7,2.37,5.73,2.87,3.77,6.19,204.48
Speaker,Cat4,8.15,9.9,2.53,8.2,8.05,2.47,5.17,4.7,0.54,541.85
Stove,Cat1,2.62,7.4,5.22,4.82,5.28,1.93,0.59,5.89,1.39,412.78
Stove,Cat1,8.03,3.37,2.2,9.62,6.29,2.49,9.15,9.28,3.35,514.51
Air Conditioner,Cat1,5.84,6.55,0.35,9.91,5.62,3.52,0.66,2.65,3.27,309.6
TV,Cat4,2.24,6.06,0.99,2.7,9.48,2.41,2.38,7.47,7.3,166.76
Speaker,Cat4,3.0,1.22,4.38,1.78,0.87,1.97,6.65,4.81,6.97,382.84
Fridge,Cat1,8.42,6.36,8.56,4.85,4.27,6.42,2.05,4.8,2.13,876.2
Speaker,Cat4,8.97,0.37,8.02,2.12,1.22,8.33,8.66,3.06,5.84,870.85
Vacuum Cleaner,Cat2,0.83,5.13,7.02,7.99,4.4,9.99,4.69,9.41,6.85,420.11
Stove,Cat1,4.67,8.06,0.62,6.98,7.97,1.64,5.8,0.4,0.78,267.45
Microwave Oven,Cat2,6.83,1.77,0.25,2.07,3.47,6.65,0.54,3.34,2.36,350.18
TV,Cat4,2.89,0.68,6.65,5.49,0.99,8.09,6.09,5.76,5.65,498.87
Laptop,Cat3,5.53,5.15,0.34,1.37,6.07,10.0,9.96,8.86,1.17,293.16
Microwave Oven,Cat2,3.55,9.93,8.93,3.08,6.51,7.25,7.56,0.23,2.11,658.83
Laptop,Cat3,5.21,1.85,5.11,0.99,9.55,5.89,0.3,6.6,0.92,531.1
Vacuum Cleaner,Cat2,6.76,9.74,4.64,9.0,0.85,6.34,4.94,6.58,1.59,586.49
Laptop,Cat3,0.32,1.82,2.14,1.4,2.78,7.47,8.14,2.46,5.63,131.61
Fridge,Cat1,6.12,6.98,8.13,1.83,1.18,9.59,3.43,6.48,7.12,740.52
Monitor,Cat4,3.72,9.63,7.55,0.61,8.86,3.01,6.45,3.27,2.06,593.02
Speaker,Cat4,3.11,3.54,8.02,4.01,0.98,5.07,4.07,5.94,5.22,584.67
Laptop,Cat3,9.73,2.47,3.63,1.74,1.32,5.78,5.89,6.58,6.49,674.13
Microwave Oven,Cat2,7.35,7.36,0.43,5.81,6.54,9.62,8.1,7.94,5.08,388.68
Fridge,Cat1,2.7,0.8,3.83,4.82,5.02,1.41,6.99,9.81,7.22,338.44
Audio Equipment,Cat4,2.6,1.75,8.05,4.91,8.77,3.8,6.69,7.82,5.95,560.28
Microwave Oven,Cat2,5.07,3.53,5.92,9.73,1.49,6.07,4.16,0.89,3.95,568.48
Smartphone,Cat3,5.64,3.67,3.2,6.48,5.01,3.71,9.05,6.66,4.88,450.83
Stove,Cat1,5.33,2.79,0.26,3.87,7.11,9.87,1.67,8.25,5.63,277.71
Fridge,Cat1,6.34,2.18,5.13,7.25,7.36,9.18,8.14,6.94,1.44,587.92
Audio Equipment,Cat4,8.39,2.41,4.55,4.84,8.34,8.49,2.07,5.41,0.96,657.7
Audio Equipment,Cat4,7.28,9.03,0.58,6.87,4.95,2.35,2.82,1.29,8.44,394.07
Washing Machine,Cat1,8.73,1.82,0.85,5.02,5.01,3.83,2.84,8.11,6.0,475.69
Monitor,Cat4,2.4,2.29,7.65,1.3,2.97,9.24,4.97,7.71,8.75,529.35
Stove,Cat1,2.47,3.43,9.36,0.59,5.65,9.83,1.65,6.43,6.6,625.11
Washing Machine,Cat1,0.77,7.37,8.6,0.78,2.39,0.48,9.72,2.21,7.52,502.9
TV,Cat4,4.84,5.22,4.15,9.35,4.42,5.59,9.12,9.45,7.46,463.34
Fridge,Cat1,6.44,5.04,9.65,5.38,5.44,2.13,2.0,3.35,5.81,836.5
Smartphone,Cat3,8.92,8.24,5.87,6.65,0.82,7.83,8.08,5.85,2.91,757.69
Air Conditioner,Cat1,6.78,6.2,7.99,0.27,2.87,1.94,5.03,0.53,5.11,764.88
Tablet,Cat3,2.16,2.77,0.83,3.72,2.81,5.97,1.23,6.07,4.94,152.34
Fridge,Cat1,4.53,1.94,1.94,6.73,5.33,7.46,0.38,5.51,2.01,327.86
Smartphone,Cat3,4.29,0.53,6.92,5.12,5.4,6.98,4.41,0.77,9.9,582.08
Stove,Cat1,5.13,9.96,4.41,7.11,3.54,5.54,8.45,1.59,1.4,494.22
Tablet,Cat3,4.8,4.17,8.1,2.37,0.61,8.49,6.07,6.24,4.9,672.41
Toaster,Cat2,2.84,7.34,6.51,3.42,3.32,7.84,2.21,8.04,0.19,492.76
Microwave Oven,Cat2,5.54,9.64,4.89,8.17,7.27,8.79,6.92,5.32,1.25,540.01
Microwave Oven,Cat2,5.55,3.07,9.71,8.29,3.94,5.09,5.02,8.86,5.53,794.89
iPhone 11,Cat3,1.28,6.89,7.6,7.78,9.57,7.45,9.72,0.9,3.33,474.33
Iron,Cat2,0.96,0.15,4.71,7.57,8.97,9.86,3.64,0.61,0.71,299.93
Toaster,Cat2,7.28,6.72,1.38,5.24,9.85,9.2,9.4,1.09,7.64,435.81
TV,Cat4,9.81,6.66,4.46,4.59,8.5,4.19,1.12,3.18,2.1,725.01
Speaker,Cat4,5.5,6.24,0.57,1.78,4.7,1.12,2.1,9.51,5.22,304.45
Iron,Cat2,7.47,6.32,5.63,2.24,7.6,3.88,7.97,2.62,4.61,672.51
TV,Cat4,6.66,0.39,4.68,1.63,3.68,3.45,9.81,7.97,3.31,578.34
Tablet,Cat3,8.56,6.06,6.41,2.35,9.49,7.55,5.17,9.66,0.6,767.8
Iron,Cat2,5.7,7.87,5.97,2.84,0.67,4.02,9.55,9.92,7.68,604.55
Washing Machine,Cat1,4.44,0.11,6.91,5.73,7.39,9.01,8.83,0.85,4.94,588.74
Vacuum Cleaner,Cat2,7.59,6.48,4.43,9.33,8.81,9.25,2.57,8.29,4.24,614.31
Air Conditioner,Cat1,6.17,4.56,4.21,4.98,7.88,5.17,8.17,0.89,6.87,531.56
Fridge,Cat1,8.95,0.56,8.03,4.86,5.33,2.94,7.29,5.25,3.72,870.47
Tablet,Cat3,6.88,8.26,0.88,3.96,8.41,9.93,7.11,0.76,3.86,390.24
Toaster,Cat2,9.87,5.46,6.61,8.89,5.67,3.15,1.59,6.07,8.67,842.41
iPhone 11,Cat3,5.44,5.98,9.58,5.07,3.23,7.77,9.8,2.77,7.99,784.22
Microwave Oven,Cat2,0.39,7.67,8.98,9.99,2.93,6.11,3.76,0.79,9.19,504.87
Laptop,Cat3,9.48,6.74,0.75,9.71,0.96,5.52,9.48,4.67,8.63,509.97
Speaker,Cat4,0.91,7.73,5.88,6.38,8.27,2.94,1.03,2.4,3.08,364.37
Washing Machine,Cat1,5.38,5.83,8.87,0.52,6.85,6.71,1.84,7.07,5.74,743.18
Smartphone,Cat3,3.63,5.6,3.9,2.91,7.48,7.76,8.69,8.38,1.49,390.79
Vacuum Cleaner,Cat2,4.9,7.39,3.17,3.46,1.0,6.07,9.82,8.13,7.6,414.98
Toaster,Cat2,2.73,6.87,5.02,8.21,5.65,9.54,4.37,0.25,8.81,407.31
Washing Machine,Cat1,5.81,1.06,6.93,7.42,0.4,5.59,6.93,2.99,7.59,657.51
Laptop,Cat3,9.84,0.96,7.61,6.97,6.42,1.19,2.92,4.08,7.51,891.91
Air Conditioner,Cat1,8.5,4.44,1.29,6.04,1.54,0.25,3.73,5.55,4.09,489.35
Smartphone,Cat3,9.74,8.54,6.62,2.78,9.29,6.27,1.26,9.47,0.44,838.43
TV,Cat4,6.53,4.56,1.59,9.07,4.83,4.17,6.35,9.93,7.63,408.81
