Item,Gold (g),Aluminum (g),Silver (g),Carbon (g),Platinum (g),Rhodium (g),Nickel (g),Tin (g),Lithium (g)
Sony PlayStation 5,0.92,1.18,0.59,0.9,0.15,0.04,1.0,1.03,2.97
Apple Watch,0.69,0.51,2.91,0.66,0.16,0.02,0.77,1.0,2.96
Samsung Galaxy S20,1.73,1.44,2.58,0.82,0.1,0.02,0.46,0.96,2.9
Lenovo ThinkPad X1,2.71,0.58,0.22,0.49,0.06,0.09,1.94,0.73,0.81
Xbox Series X,3.91,1.0,2.63,0.82,0.15,0.04,0.23,1.44,2.94
Canon EOS R5,4.83,1.86,2.88,0.95,0.19,0.05,1.73,0.95,1.11
Fitbit Charge,1.09,0.85,2.84,0.88,0.13,0.01,0.29,1.09,1.2
Fitbit Charge,2.98,1.88,0.2,0.54,0.1,0.07,0.11,0.31,2.55
Nikon D3500,1.2,0.68,2.88,0.68,0.1,0.07,1.13,0.4,2.68
Canon EOS R5,3.52,1.76,1.58,0.46,0.18,0.1,0.32,0.48,1.07
Sony PlayStation 5,1.17,1.9,1.98,0.62,0.15,0.03,0.26,1.37,0.25
Dell XPS 13,3.52,0.17,2.91,0.17,0.08,0.02,0.63,0.19,2.23
Google Pixel 6,4.17,0.9,2.6,0.22,0.18,0.02,1.21,1.29,1.8
Apple Watch,0.52,0.77,0.54,0.61,0.03,0.1,1.56,1.11,1.0
Samsung Galaxy S20,2.42,1.36,0.37,0.42,0.02,0.05,1.45,1.25,2.7
iPhone 11,4.35,1.1,2.76,0.29,0.03,0.05,0.7,0.33,1.67
iPad Pro,4.56,0.43,1.01,0.47,0.02,0.03,0.11,1.0,0.11
iPhone 11,1.95,0.64,1.32,0.37,0.15,0.03,0.28,1.33,2.93
HP Spectre x360,3.84,1.19,0.91,0.6,0.02,0.01,1.82,1.09,0.58
Canon EOS R5,3.61,1.61,0.1,0.3,0.17,0.04,1.21,0.48,1.69
Microsoft Surface Pro,0.38,1.46,2.21,0.62,0.2,0.01,0.87,0.37,0.76
Nintendo Switch,1.02,1.54,1.31,0.19,0.06,0.04,0.44,0.68,2.74
Amazon Kindle,3.52,0.61,1.46,0.48,0.09,0.04,0.6,0.41,1.53
Lenovo ThinkPad X1,2.0,1.83,2.34,0.21,0.13,0.03,0.13,0.74,1.05
Sony PlayStation 5,4.48,0.56,0.41,0.54,0.07,0.07,0.75,0.6,2.68
Samsung Galaxy S20,2.22,0.97,2.62,0.63,0.15,0.05,1.16,0.46,1.72
Nintendo Switch,4.56,1.19,0.54,0.67,0.03,0.08,1.88,0.55,0.85
Nikon D3500,3.61,0.91,0.96,0.96,0.14,0.04,1.07,0.37,2.78
Lenovo ThinkPad X1,4.26,1.42,1.34,0.72,0.03,0.02,1.69,0.57,2.34
Samsung Galaxy S20,4.39,1.65,0.59,0.17,0.2,0.02,0.7,0.69,2.46
Google Pixel 6,3.27,1.78,2.17,0.43,0.18,0.04,0.98,0.48,1.98
Samsung Galaxy S20,2.84,0.42,1.43,0.46,0.01,0.04,1.37,1.27,1.49
HP Spectre x360,1.94,0.83,0.21,0.29,0.16,0.06,0.96,0.33,1.23
Apple Watch,4.17,1.22,1.66,0.22,0.02,0.02,0.37,0.12,0.72
Nikon D3500,1.64,1.11,1.66,0.45,0.07,0.09,1.1,0.62,1.67
Lenovo ThinkPad X1,0.8,1.12,2.08,0.99,0.06,0.05,0.88,0.88,2.67
Nikon D3500,0.65,1.96,1.56,0.73,0.01,0.02,1.98,0.1,2.09
HP Spectre x360,3.85,0.66,0.3,0.37,0.04,0.05,0.13,0.86,2.79
iPad Pro,1.11,1.97,1.11,0.88,0.08,0.02,1.75,0.52,0.54
Microsoft Surface Pro,2.55,0.68,1.2,0.54,0.12,0.03,1.19,0.2,2.99
Sony PlayStation 5,0.95,0.47,1.54,0.86,0.18,0.06,0.48,1.24,1.73
HP Spectre x360,4.39,1.58,0.33,0.82,0.07,0.03,1.51,1.33,1.22
Samsung Galaxy S20,1.19,1.78,0.79,0.79,0.14,0.03,1.77,0.54,1.17
Nikon D3500,4.37,0.99,0.21,0.51,0.13,0.01,1.49,0.66,0.87
Lenovo ThinkPad X1,3.16,1.45,1.1,0.62,0.05,0.1,1.18,0.55,2.16
Apple Watch,4.1,1.09,1.57,0.69,0.12,0.09,0.51,1.09,1.11
Dell XPS 13,4.22,0.94,2.02,0.78,0.02,0.02,0.36,0.69,0.99
LG OLED TV,3.75,0.1,0.48,0.24,0.18,0.09,1.61,1.0,1.58
Samsung Galaxy S20,1.38,1.56,0.9,0.78,0.17,0.04,0.87,1.08,2.77
Google Pixel 6,4.81,1.11,0.98,0.56,0.17,0.04,0.97,1.24,2.94
iPhone 11,0.75,0.27,0.2,0.71,0.13,0.09,0.48,0.58,2.05
Raspberry Pi 4,3.65,0.92,0.21,0.87,0.14,0.02,1.78,1.31,2.35
Google Pixel 6,1.05,1.11,1.17,0.34,0.09,0.02,1.73,0.53,1.54
Raspberry Pi 4,0.22,0.57,1.75,0.96,0.2,0.05,1.68,1.38,1.87
Dell XPS 13,1.81,0.75,1.31,0.99,0.04,0.02,1.98,1.26,2.06
Amazon Kindle,2.56,1.34,1.86,0.97,0.18,0.04,1.52,0.66,2.65
Amazon Kindle,2.43,1.43,0.63,0.4,0.11,0.07,0.97,0.87,1.86
Dell XPS 13,1.71,0.68,0.55,0.87,0.03,0.04,0.77,1.5,0.13
Google Pixel 6,0.36,0.85,0.38,0.62,0.02,0.04,1.28,1.33,1.43
Canon EOS R5,1.8,1.32,2.17,0.62,0.19,0.08,1.84,0.54,1.12
OnePlus 9 Pro,3.77,0.37,0.65,0.56,0.16,0.1,0.64,0.61,1.89
iPhone 11,1.37,1.25,1.18,0.96,0.12,0.06,1.04,0.32,2.27
Samsung Galaxy S20,3.86,1.19,2.15,0.57,0.16,0.05,0.16,1.07,0.31
Nintendo Switch,2.43,0.36,1.68,0.93,0.07,0.02,0.88,0.75,0.79
iPhone 11,4.17,0.57,1.81,0.41,0.07,0.03,1.38,1.21,1.74
Samsung Galaxy S20,4.49,0.31,1.52,0.27,0.08,0.06,0.64,0.11,2.68
Nikon D3500,3.66,1.19,2.5,0.32,0.06,0.1,1.3,1.05,1.24
Microsoft Surface Pro,3.12,1.79,1.46,0.91,0.19,0.04,1.19,0.17,0.57
Raspberry Pi 4,4.84,1.9,1.49,0.35,0.09,0.01,0.17,0.69,1.79
Dell XPS 13,0.4,0.71,0.93,0.43,0.02,0.09,0.21,0.95,2.07
Xbox Series X,2.15,0.54,1.07,0.72,0.06,0.03,0.59,0.77,0.83
HP Spectre x360,4.12,1.54,2.78,0.97,0.2,0.03,0.8,1.46,0.9
Google Pixel 6,2.62,1.56,0.36,0.6,0.15,0.03,1.87,1.0,0.44
LG OLED TV,4.93,1.74,2.65,0.62,0.02,0.07,1.92,1.03,1.77
HP Spectre x360,4.47,0.59,0.86,0.97,0.17,0.06,1.57,1.29,1.71
iPad Pro,4.61,0.43,0.9,0.21,0.17,0.04,1.04,0.17,2.21
OnePlus 9 Pro,2.46,1.16,2.55,0.25,0.13,0.1,1.84,0.54,0.56
Lenovo ThinkPad X1,2.73,0.73,1.84,0.17,0.04,0.06,1.78,0.39,2.2
Fitbit Charge,2.87,0.61,1.73,0.39,0.06,0.1,0.42,0.36,0.38
Canon EOS R5,1.79,0.23,2.48,0.42,0.07,0.02,1.5,0.57,2.0
Dell XPS 13,2.19,1.77,1.95,0.57,0.05,0.09,1.53,0.14,0.71
Dell XPS 13,4.0,1.62,2.32,0.77,0.04,0.02,1.38,0.94,0.12
Lenovo ThinkPad X1,1.0,1.32,1.89,0.35,0.04,0.02,1.99,0.84,1.85
Canon EOS R5,2.29,1.77,2.2,0.38,0.06,0.03,1.41,1.12,1.68
MacBook Pro,0.89,1.09,1.97,0.18,0.13,0.08,1.58,1.45,0.23
HP Spectre x360,1.17,1.52,0.89,0.42,0.17,0.02,0.47,0.69,0.7
Google Pixel 6,4.22,0.48,1.88,0.41,0.04,0.07,1.26,1.36,2.83
Google Pixel 6,3.99,0.69,2.78,0.89,0.17,0.08,1.91,0.62,2.89
Xbox Series X,1.14,0.76,1.64,0.33,0.17,0.06,1.65,0.43,0.86
Nintendo Switch,3.12,1.08,1.51,0.52,0.15,0.09,0.65,1.29,0.65
iPhone 11,3.22,1.21,2.58,0.32,0.01,0.08,0.9,1.47,1.66
iPhone 11,1.05,0.99,2.85,0.2,0.04,0.07,1.53,0.17,1.23
Xbox Series X,1.32,0.78,2.19,0.7,0.18,0.09,0.5,0.38,0.52
Dell XPS 13,2.1,0.63,0.64,0.3,0.19,0.09,0.61,1.12,1.49
Lenovo ThinkPad X1,4.92,1.64,1.18,0.12,0.05,0.02,1.61,0.61,0.16
Microsoft Surface Pro,1.1,0.62,0.76,0.19,0.1,0.02,1.38,1.1,2.89
Raspberry Pi 4,2.34,0.28,2.64,0.21,0.14,0.05,1.31,0.44,2.79
iPad Pro,4.65,1.86,2.84,0.24,0.09,0.04,1.84,0.72,2.03
Sony PlayStation 5,2.78,0.38,2.4,0.39,0.14,0.06,0.96,0.81,0.68
Amazon Kindle,4.58,0.42,1.39,0.95,0.03,0.05,0.57,0.43,2.03
OnePlus 9 Pro,0.58,0.6,0.32,0.59,0.16,0.07,0.89,1.16,1.15
iPad Pro,1.46,1.61,0.72,0.15,0.09,0.04,0.75,0.34,0.84
MacBook Pro,3.22,0.96,2.9,0.25,0.04,0.05,1.91,0.2,0.96
LG OLED TV,0.96,0.49,1.95,0.78,0.01,0.09,0.52,1.27,2.36
Dell XPS 13,1.05,1.6,0.47,0.19,0.14,0.07,0.5,0.43,0.48
LG OLED TV,4.43,0.64,2.07,0.5,0.14,0.01,1.3,0.33,0.48
Sony PlayStation 5,4.73,0.24,0.95,0.87,0.16,0.03,1.0,0.96,2.23
Amazon Kindle,2.07,0.87,1.17,0.43,0.12,0.02,0.44,0.36,1.49
MacBook Pro,1.02,0.31,1.72,0.6,0.09,0.01,0.67,1.2,0.97
Raspberry Pi 4,4.64,0.69,2.7,0.6,0.01,0.02,1.41,1.02,0.51
Dell XPS 13,1.54,1.63,1.6,0.6,0.15,0.08,1.03,0.2,1.38
Canon EOS R5,4.33,1.56,2.27,0.82,0.17,0.05,1.37,1.13,2.13
iPhone 11,4.04,1.53,0.29,0.35,0.05,0.04,1.83,1.23,2.04
Raspberry Pi 4,4.96,1.65,1.15,0.69,0.06,0.02,0.26,0.82,1.24
Nintendo Switch,4.85,1.55,2.12,0.59,0.14,0.01,0.4,0.41,0.95
Fitbit Charge,4.14,0.38,2.17,0.34,0.2,0.08,1.98,1.11,0.89
iPad Pro,0.93,0.48,0.4,0.98,0.14,0.03,0.19,0.14,2.67
LG OLED TV,0.97,1.48,0.37,0.34,0.13,0.04,0.19,0.87,2.91
Canon EOS R5,1.74,0.23,1.92,0.18,0.13,0.07,0.15,0.99,1.31
Raspberry Pi 4,4.3,1.84,1.58,0.56,0.04,0.05,0.68,0.5,2.81
Nintendo Switch,2.07,1.09,2.49,0.94,0.04,0.1,1.25,0.34,1.03
MacBook Pro,0.35,1.25,2.52,0.94,0.03,0.05,0.4,0.38,0.52
Nikon D3500,0.27,0.68,1.16,0.11,0.17,0.05,0.15,1.06,0.69
Dell XPS 13,4.66,0.36,1.24,0.18,0.19,0.09,1.99,0.5,2.46
Raspberry Pi 4,1.8,0.73,2.2,0.8,0.19,0.07,1.11,1.06,0.64
Sony PlayStation 5,3.1,0.47,1.56,0.23,0.09,0.02,0.23,1.06,0.64
OnePlus 9 Pro,1.25,0.59,0.89,0.94,0.17,0.07,1.26,0.3,0.91
Samsung Galaxy S20,2.12,1.18,2.21,0.4,0.01,0.02,1.99,1.01,1.28
Dell XPS 13,1.26,1.48,1.7,0.58,0.07,0.01,0.17,0.49,1.48
Sony PlayStation 5,0.32,1.92,0.47,0.16,0.16,0.05,0.32,0.51,1.9
Dell XPS 13,0.27,0.19,1.33,0.86,0.1,0.04,0.78,1.25,0.88
LG OLED TV,1.56,0.76,1.04,0.38,0.18,0.04,1.64,1.19,1.07
Lenovo ThinkPad X1,0.94,0.21,1.85,0.69,0.15,0.08,0.91,1.2,2.65
Nikon D3500,1.92,0.89,0.76,0.19,0.14,0.01,1.22,0.42,1.89
Microsoft Surface Pro,2.09,1.31,1.46,0.91,0.11,0.06,1.08,0.42,1.2
OnePlus 9 Pro,4.9,0.12,2.53,0.47,0.18,0.06,1.85,0.37,2.45
HP Spectre x360,1.15,0.53,2.29,0.46,0.05,0.08,0.12,0.34,1.29
Microsoft Surface Pro,3.8,1.54,0.82,0.58,0.13,0.02,0.9,0.76,2.78
Canon EOS R5,0.72,0.82,0.83,0.56,0.1,0.03,0.18,1.5,1.31
HP Spectre x360,4.91,0.85,2.65,0.43,0.14,0.03,0.43,1.08,0.26
OnePlus 9 Pro,4.13,2.0,2.69,0.79,0.1,0.06,0.5,0.82,2.73
Xbox Series X,1.23,1.52,2.51,0.53,0.1,0.01,0.89,0.29,2.4
Microsoft Surface Pro,3.96,1.53,0.83,0.97,0.04,0.06,1.13,0.23,1.16
Sony PlayStation 5,4.07,1.21,2.94,0.46,0.06,0.08,0.68,1.42,1.14
LG OLED TV,0.95,0.15,1.91,0.56,0.14,0.04,0.7,0.78,2.89
Google Pixel 6,3.89,1.13,1.17,0.72,0.11,0.06,0.92,0.72,0.91
LG OLED TV,2.27,0.18,1.99,0.88,0.05,0.07,0.77,0.4,1.79
Raspberry Pi 4,4.68,1.12,2.48,0.38,0.03,0.07,0.29,0.91,0.81
Nintendo Switch,1.44,1.84,1.69,0.3,0.03,0.05,1.67,0.95,1.86
Lenovo ThinkPad X1,1.21,0.8,2.06,0.44,0.09,0.02,1.75,1.42,1.33
Nintendo Switch,1.5,1.25,1.77,0.67,0.12,0.04,1.74,1.07,0.97
Apple Watch,0.58,1.5,1.83,0.19,0.11,0.07,0.81,0.5,2.95
Xbox Series X,0.13,0.99,0.67,0.44,0.04,0.07,1.47,0.39,2.11
MacBook Pro,4.59,1.19,0.47,0.99,0.06,0.06,0.88,0.7,1.69
Samsung Galaxy S20,4.51,0.84,2.81,0.91,0.13,0.02,0.29,0.32,1.47
iPhone 11,3.01,0.18,1.64,0.64,0.13,0.03,1.85,0.66,1.19
Samsung Galaxy S20,4.53,1.9,2.71,0.99,0.19,0.04,0.71,0.86,0.13
Samsung Galaxy S20,0.63,0.82,1.08,0.5,0.03,0.06,1.05,0.87,1.76
Microsoft Surface Pro,3.54,0.56,2.27,0.9,0.12,0.06,1.23,0.47,2.52
iPhone 11,0.79,1.55,1.29,0.77,0.04,0.01,0.98,0.79,2.34
Canon EOS R5,4.39,1.84,1.11,0.89,0.07,0.02,1.32,1.12,1.12
Microsoft Surface Pro,1.79,1.78,2.01,0.39,0.03,0.06,0.94,0.94,2.53
Dell XPS 13,0.46,0.16,1.05,0.39,0.02,0.05,1.01,0.88,1.68
Nintendo Switch,0.37,1.87,2.46,0.52,0.02,0.05,0.11,0.55,2.97
Google Pixel 6,4.8,0.56,1.38,0.2,0.12,0.04,1.7,0.19,2.62
Dell XPS 13,0.93,0.99,1.55,0.51,0.08,0.02,1.68,1.06,0.32
Amazon Kindle,1.34,0.23,1.11,0.52,0.19,0.01,0.86,0.24,0.19
Xbox Series X,2.26,0.49,1.61,0.67,0.03,0.09,0.14,0.66,2.32
iPad Pro,4.64,1.21,0.43,0.66,0.16,0.05,1.03,0.59,0.38
MacBook Pro,3.62,0.31,0.29,0.72,0.16,0.02,0.35,1.24,2.81
Apple Watch,2.63,0.74,0.49,0.75,0.16,0.03,1.77,0.45,1.55
MacBook Pro,1.93,0.74,0.95,0.47,0.14,0.03,1.13,1.42,2.99
Nikon D3500,1.87,1.2,0.85,0.48,0.04,0.07,0.63,0.75,2.34
Fitbit Charge,2.91,0.89,1.06,0.18,0.1,0.1,1.79,0.15,0.15
iPad Pro,0.77,1.44,2.08,0.49,0.1,0.04,1.17,0.76,1.54
Nikon D3500,2.63,1.35,1.18,0.58,0.16,0.03,0.2,0.49,2.27
Microsoft Surface Pro,3.28,1.98,1.36,0.38,0.08,0.06,0.87,0.4,2.09
HP Spectre x360,4.82,0.7,1.43,0.11,0.14,0.05,0.61,1.2,2.9
iPhone 11,4.51,1.07,1.37,0.2,0.05,0.1,1.93,1.43,0.32
Sony PlayStation 5,3.72,0.79,1.27,0.22,0.19,0.06,1.91,0.98,1.82
Raspberry Pi 4,0.35,0.27,1.69,0.56,0.14,0.03,0.59,0.85,0.94
OnePlus 9 Pro,0.46,1.53,0.53,0.83,0.04,0.07,0.4,0.3,0.85
LG OLED TV,4.62,1.74,0.73,0.38,0.19,0.04,0.18,1.47,1.76
OnePlus 9 Pro,3.19,0.15,0.53,0.13,0.18,0.03,1.12,1.12,2.27
Microsoft Surface Pro,3.15,0.19,1.89,0.84,0.06,0.02,0.28,1.06,0.69
HP Spectre x360,1.3,0.5,2.98,0.51,0.18,0.01,1.66,1.1,1.81
Lenovo ThinkPad X1,0.47,1.31,1.06,0.27,0.17,0.05,0.88,0.91,2.61
Fitbit Charge,2.35,1.61,1.47,0.89,0.1,0.1,1.14,1.25,0.56
Raspberry Pi 4,3.97,1.83,2.21,0.96,0.02,0.04,0.12,0.58,1.05
Apple Watch,0.26,0.59,1.61,0.47,0.12,0.09,1.42,1.14,0.83
MacBook Pro,0.19,1.29,1.97,0.88,0.1,0.04,0.77,0.35,2.52
Canon EOS R5,1.4,0.31,0.68,0.19,0.14,0.09,1.43,0.64,2.4
Canon EOS R5,3.62,0.74,0.91,0.74,0.12,0.09,1.84,1.43,2.53
iPad Pro,3.63,1.83,1.95,0.56,0.17,0.05,1.62,0.75,2.45
Samsung Galaxy S20,4.93,0.29,0.69,0.7,0.07,0.05,1.03,0.96,2.74
Nintendo Switch,0.15,1.3,1.1,0.65,0.12,0.08,1.56,1.36,0.84
Microsoft Surface Pro,2.22,1.73,1.78,0.18,0.13,0.05,1.41,1.19,0.64
Amazon Kindle,1.76,0.42,1.11,0.72,0.19,0.1,1.21,1.36,1.82
Nintendo Switch,1.6,1.1,1.94,0.75,0.11,0.02,1.68,0.95,2.53
OnePlus 9 Pro,3.57,1.92,0.17,0.89,0.14,0.08,0.81,0.45,2.9
Sony PlayStation 5,4.71,0.49,2.3,0.26,0.14,0.07,0.97,1.44,0.26
LG OLED TV,3.17,0.68,0.36,0.35,0.1,0.08,1.1,0.75,2.28
Amazon Kindle,3.48,1.58,0.67,0.99,0.19,0.04,0.86,1.36,2.29
MacBook Pro,4.66,0.12,2.41,0.95,0.1,0.08,1.74,0.13,1.77
Nintendo Switch,3.35,0.55,2.12,0.64,0.2,0.04,1.42,0.36,1.47
Raspberry Pi 4,2.76,0.71,1.55,0.25,0.13,0.06,1.16,0.29,2.67
iPad Pro,3.49,1.74,2.99,0.99,0.17,0.04,1.32,1.19,0.98
Microsoft Surface Pro,1.93,1.85,0.5,0.62,0.03,0.05,0.92,0.39,0.31
Lenovo ThinkPad X1,2.75,1.81,0.79,0.87,0.17,0.01,0.96,0.1,1.46
Canon EOS R5,4.93,0.76,0.17,0.17,0.18,0.08,0.23,1.0,2.51
Canon EOS R5,2.99,1.37,2.25,0.17,0.04,0.04,0.72,0.69,1.41
Apple Watch,3.77,1.43,2.91,0.78,0.04,0.03,0.96,0.42,0.64
Nintendo Switch,4.64,1.04,2.16,0.97,0.05,0.04,1.92,0.57,2.96
iPad Pro,4.61,1.77,2.76,0.3,0.07,0.03,0.37,1.15,2.03
Apple Watch,0.84,1.53,2.79,0.58,0.08,0.04,1.54,0.54,0.33
Dell XPS 13,1.06,0.32,1.91,0.83,0.02,0.03,0.63,1.11,2.6
Nikon D3500,1.18,1.39,1.67,0.81,0.08,0.03,1.44,0.33,2.06
Lenovo ThinkPad X1,4.09,1.1,1.99,0.26,0.12,0.05,0.33,0.14,1.39
Microsoft Surface Pro,2.34,0.47,0.71,0.98,0.18,0.01,0.5,0.76,0.76
Canon EOS R5,3.9,1.55,2.01,0.62,0.18,0.04,0.92,0.82,0.87
Nikon D3500,1.55,0.21,0.87,0.81,0.19,0.05,0.95,1.18,0.66
iPad Pro,2.33,0.24,1.6,0.27,0.15,0.08,1.82,0.81,2.73
Xbox Series X,0.78,0.43,2.46,0.55,0.16,0.08,1.86,1.41,2.13
Nikon D3500,4.14,0.61,1.52,0.89,0.16,0.06,1.8,0.71,0.67
Apple Watch,1.17,0.5,0.6,0.14,0.04,0.06,0.93,0.57,2.03
Canon EOS R5,4.36,1.37,2.86,0.81,0.06,0.03,0.6,0.26,2.37
Samsung Galaxy S20,0.5,0.33,2.72,0.52,0.14,0.08,0.25,1.25,1.52
Amazon Kindle,2.85,0.52,0.68,0.97,0.19,0.04,1.49,1.07,2.45
Samsung Galaxy S20,3.92,1.58,2.59,0.13,0.11,0.08,0.6,1.21,0.23
OnePlus 9 Pro,1.47,0.33,0.29,0.39,0.05,0.01,1.99,0.1,2.39
Lenovo ThinkPad X1,2.68,1.56,0.18,0.91,0.17,0.01,1.11,1.36,1.48
Google Pixel 6,4.05,1.0,1.7,0.93,0.11,0.04,1.03,0.67,1.02
iPhone 11,2.87,1.84,0.9,0.76,0.13,0.07,1.53,1.03,0.23
Xbox Series X,3.02,0.76,0.69,0.57,0.05,0.08,1.18,0.38,1.83
Google Pixel 6,2.87,0.77,1.09,0.44,0.18,0.04,1.08,1.36,2.04
Fitbit Charge,3.01,0.88,2.96,0.7,0.19,0.04,1.64,0.35,1.35
Nintendo Switch,2.51,1.27,2.63,0.42,0.12,0.09,1.25,0.21,0.82
Xbox Series X,4.82,0.77,0.47,0.5,0.09,0.03,0.5,1.03,0.27
Google Pixel 6,1.48,0.59,0.91,0.2,0.18,0.04,1.53,0.22,1.54
MacBook Pro,3.59,1.76,0.27,0.59,0.19,0.06,0.15,0.15,1.15
Canon EOS R5,0.71,1.19,0.68,0.45,0.05,0.03,1.34,1.46,1.02
Canon EOS R5,2.57,0.44,1.89,0.88,0.03,0.06,0.52,0.85,1.21
Samsung Galaxy S20,0.94,0.28,1.19,0.24,0.13,0.07,0.35,1.14,1.74
LG OLED TV,0.45,1.85,2.74,0.95,0.16,0.03,0.96,1.32,2.41
Google Pixel 6,4.25,1.97,0.21,0.3,0.06,0.1,0.13,0.33,1.36
Xbox Series X,0.51,1.1,1.42,0.45,0.19,0.09,0.87,1.01,1.16
Amazon Kindle,0.9,0.84,0.82,0.52,0.05,0.06,1.87,0.5,1.47
Nintendo Switch,4.07,1.69,0.79,0.19,0.13,0.09,0.57,0.97,1.85
Xbox Series X,0.11,0.28,1.49,0.99,0.11,0.03,1.25,1.35,1.3
Google Pixel 6,0.16,1.83,2.49,0.14,0.06,0.08,0.46,1.18,1.77
MacBook Pro,4.76,0.85,2.53,0.75,0.15,0.02,1.66,1.19,2.2
Dell XPS 13,2.53,1.52,2.36,0.56,0.1,0.05,1.42,0.91,2.82
Lenovo ThinkPad X1,0.49,1.41,2.57,0.88,0.02,0.05,1.16,1.46,2.42
MacBook Pro,0.64,0.7,2.06,0.15,0.03,0.03,1.11,0.18,0.76
Sony PlayStation 5,1.06,1.55,1.2,0.98,0.13,0.09,1.59,0.72,2.18
Apple Watch,2.82,0.33,1.52,0.76,0.06,0.1,0.39,0.81,2.75
MacBook Pro,4.46,1.11,1.82,0.37,0.18,0.05,1.14,0.81,1.58
Raspberry Pi 4,3.94,1.65,0.52,0.79,0.19,0.08,0.47,0.65,1.47
Xbox Series X,1.63,0.82,2.85,0.37,0.01,0.06,1.21,1.49,1.05
MacBook Pro,3.58,1.9,2.19,0.78,0.14,0.09,1.72,1.23,0.52
OnePlus 9 Pro,3.17,1.09,2.72,0.86,0.12,0.1,0.63,0.16,1.59
Sony PlayStation 5,0.61,1.27,0.9,0.88,0.16,0.05,0.12,0.43,1.35
LG OLED TV,0.77,0.58,1.68,0.99,0.03,0.03,0.83,0.23,1.03
Dell XPS 13,3.68,0.27,1.43,0.12,0.17,0.07,0.51,0.31,1.58
iPhone 11,1.27,1.84,0.35,0.39,0.2,0.08,0.24,0.85,1.35
OnePlus 9 Pro,4.7,0.26,0.28,0.47,0.16,0.07,1.99,1.24,0.5
MacBook Pro,0.52,0.22,1.73,0.36,0.2,0.04,1.86,0.97,0.52
HP Spectre x360,3.58,1.06,0.11,0.62,0.06,0.09,0.13,1.14,2.84
Microsoft Surface Pro,3.08,0.51,1.99,0.61,0.15,0.07,0.2,1.26,1.34
Raspberry Pi 4,4.84,1.08,1.47,0.62,0.17,0.06,1.15,0.87,0.49
OnePlus 9 Pro,1.93,1.32,2.59,0.57,0.07,0.05,1.68,1.29,1.07
Fitbit Charge,4.37,1.77,2.8,0.35,0.19,0.08,0.39,0.61,0.25
Xbox Series X,2.89,1.03,2.43,0.44,0.04,0.03,0.44,0.42,1.85
HP Spectre x360,3.57,1.08,0.78,0.83,0.06,0.09,0.55,1.44,2.52
Lenovo ThinkPad X1,3.24,1.96,2.13,0.92,0.05,0.05,0.89,0.98,2.91
Nintendo Switch,2.71,1.41,0.71,0.9,0.07,0.03,0.94,0.92,1.12
OnePlus 9 Pro,3.44,1.7,2.92,0.88,0.12,0.03,0.61,0.42,0.83
Samsung Galaxy S20,3.44,0.41,2.44,0.58,0.1,0.09,1.95,0.76,1.95
LG OLED TV,2.68,0.21,0.65,0.4,0.15,0.08,1.27,0.79,0.67
Fitbit Charge,3.14,0.73,1.53,0.39,0.03,0.04,0.88,1.46,3.0
Sony PlayStation 5,3.22,0.47,0.49,0.46,0.19,0.07,0.39,0.74,0.59
Amazon Kindle,2.06,1.34,0.88,0.95,0.02,0.04,1.2,0.12,1.82
Lenovo ThinkPad X1,0.85,1.56,2.59,0.47,0.19,0.02,0.74,0.41,1.21
Nintendo Switch,0.62,0.66,1.2,0.21,0.18,0.03,1.68,0.49,1.62
Fitbit Charge,1.49,1.92,2.12,0.4,0.19,0.04,0.18,0.82,2.39
Dell XPS 13,4.86,0.22,2.52,0.98,0.02,0.02,1.48,0.97,1.21
Canon EOS R5,3.2,1.14,0.48,0.28,0.05,0.04,1.25,1.14,1.84
iPhone 11,3.37,0.51,1.72,0.36,0.08,0.09,0.59,0.65,2.5
HP Spectre x360,4.16,0.61,0.61,0.87,0.01,0.04,0.7,1.31,1.27
LG OLED TV,4.31,0.53,1.36,0.97,0.07,0.05,0.78,1.26,1.08
Fitbit Charge,2.83,1.38,0.99,0.32,0.17,0.08,1.87,1.15,2.64
Samsung Galaxy S20,1.9,0.67,2.51,0.69,0.07,0.03,0.11,0.67,0.35
Google Pixel 6,2.64,1.2,0.55,0.89,0.1,0.01,1.51,0.62,1.47
iPad Pro,4.7,1.66,2.02,0.28,0.11,0.07,1.33,0.85,0.13
iPad Pro,0.46,1.17,2.43,0.91,0.15,0.08,1.91,0.2,1.04
iPhone 11,0.48,1.92,2.32,0.59,0.03,0.07,1.12,0.77,2.05
Canon EOS R5,4.45,0.56,1.9,0.67,0.18,0.03,0.83,1.18,0.53
Microsoft Surface Pro,1.33,1.82,1.65,0.63,0.12,0.04,0.38,1.37,2.23
Xbox Series X,1.69,0.39,2.97,0.82,0.02,0.02,1.07,1.0,1.28
Amazon Kindle,3.0,1.62,1.43,0.3,0.18,0.08,0.29,0.12,1.59
Lenovo ThinkPad X1,2.26,0.46,0.44,0.51,0.02,0.03,0.3,0.84,1.76
Xbox Series X,3.75,1.89,1.88,0.53,0.13,0.08,1.41,0.46,1.46
Microsoft Surface Pro,4.76,0.94,0.6,0.37,0.06,0.06,1.75,0.43,2.43
Nikon D3500,4.26,1.66,2.44,0.78,0.02,0.03,0.28,1.43,1.52
Raspberry Pi 4,2.58,0.36,2.44,0.7,0.15,0.07,1.29,0.73,2.91
iPad Pro,2.16,0.51,1.49,0.36,0.02,0.1,0.98,0.42,2.14
